P_FRQ,Mecanizado,Tiempo,CH,RISE,COUN,ENER,DURATION,AMP,A_FRQ,RMS,ASL,PCNTS,R_FRQ,I_FRQ,SIG_STRNGTH,ABS_ENERGY,C_FRQ,Herramienta
92,1,0.7376057999999972,1,0,17,0,275,63,62,0.058,58,1,58,1000,53375.0,1938.0,454,Usada
92,1,0.7383124999999993,1,0,91,40,1563,63,58,0.058,58,1,57,1000,292861.0,9705.0,479,Usada
92,1,0.7403164999999987,1,362,99,60,2077,62,48,0.058,58,25,43,69,416416.0,17198.0,432,Usada
87,1,0.7428365999999968,1,313,29,10,581,57,50,0.056,58,13,59,41,102328.0,3291.0,439,Usada
102,1,0.7439588000000015,1,450,65,30,943,61,69,0.056,58,27,77,60,240614.0,11463.0,391,Usada
92,1,0.745334800000002,1,342,276,160,4795,62,58,0.056,58,20,57,58,1007000.0,40130.0,422,Usada
87,1,0.7505627999999973,1,351,39,20,607,58,64,0.056,58,19,78,54,153019.0,6519.0,401,Usada
92,1,0.7516660000000002,1,80,14,0,167,56,84,0.056,58,6,93,75,39345.0,1544.0,496,Usada
87,1,0.7522672999999998,1,100,16,10,279,57,57,0.054,57,8,44,80,64020.0,2707.0,386,Usada
102,1,0.7526007999999962,2,1924,2387,4260,19997,84,119,0.32,73,237,118,123,26638000.0,6955000.0,211,Usada
92,1,0.7529912999999979,1,437,49,20,828,58,59,0.054,57,23,66,52,168025.0,6060.0,399,Usada
87,1,0.7542607999999973,1,6,17,10,236,60,72,0.054,57,1,69,166,66032.0,3329.0,393,Usada
87,1,0.7549297999999993,1,0,13,0,331,64,39,0.054,57,1,36,1000,51636.0,1654.0,437,Usada
92,1,0.7557088000000007,1,483,170,90,3069,59,55,0.054,57,36,51,74,575688.0,19875.0,455,Usada
87,1,0.7592534999999998,1,168,22,10,417,54,53,0.054,57,11,44,65,69448.0,1986.0,509,Usada
92,1,0.7601000000000013,1,32,12,0,286,57,42,0.054,57,4,31,125,44011.0,1389.0,469,Usada
92,1,0.7608494999999991,1,1092,72,30,1295,58,56,0.054,57,56,79,51,239669.0,8301.0,407,Usada
92,1,0.7626132999999982,1,647,59,40,1012,62,58,0.054,57,31,76,47,263245.0,14040.0,388,Usada
92,1,0.7640965000000008,1,268,57,30,1201,56,47,0.054,57,17,42,63,202368.0,5999.0,431,Usada
92,1,0.7657629999999997,1,53,21,10,289,58,73,0.054,57,6,63,113,65941.0,2640.0,419,Usada
92,1,0.7665294999999972,1,11,3,0,34,52,88,0.054,57,1,90,90,6619.0,310.64,501,Usada
87,1,0.7670037999999977,1,572,47,30,946,59,50,0.054,57,27,53,47,190137.0,7356.0,450,Usada
87,1,0.7683818000000002,1,1301,109,60,1883,62,58,0.054,57,69,68,53,397415.0,16565.0,433,Usada
92,1,0.7707873000000021,1,96,24,10,433,56,55,0.054,57,7,50,72,79300.0,2586.0,494,Usada
87,1,0.7717413000000022,1,138,3,0,143,52,21,0.052,57,3,0,21,15250.0,471.093,604,Usada
87,1,0.772355300000001,1,77,5,0,122,53,41,0.052,57,2,68,25,16104.0,490.233,477,Usada
102,1,0.7732025999999976,2,4401,2311,3750,20000,83,116,0.304,72,502,115,114,23459000.0,5670000.0,269,Usada
97,1,0.7734092999999973,1,513,32,20,702,58,46,0.052,57,23,47,44,134170.0,4878.0,489,Usada
87,1,0.7745512999999988,1,0,3,0,27,51,111,0.052,57,1,76,1000,5551.0,282.108,411,Usada
97,1,0.7750637999999981,1,298,32,10,505,59,63,0.052,57,22,48,73,101535.0,3614.0,446,Usada
87,1,0.7760115999999968,1,112,15,0,178,55,84,0.052,57,9,92,80,41999.0,1589.0,430,Usada
87,1,0.7766244999999969,1,6,7,0,110,57,64,0.052,57,1,57,166,21991.0,924.769,412,Usada
87,1,0.7771717999999979,1,325,62,30,930,59,67,0.052,57,22,66,67,203039.0,7828.0,478,Usada
87,1,0.7785385999999974,1,153,36,10,766,56,47,0.052,57,11,40,71,121085.0,3817.0,464,Usada
92,1,0.7797582999999975,1,149,24,10,700,56,34,0.052,57,6,32,40,96014.0,2679.0,469,Usada
92,1,0.7809900999999968,1,5,2,0,10,51,200,0.052,57,1,200,200,1891.0,258.826,651,Usada
87,1,0.7814784999999986,1,140,10,0,196,55,51,0.052,57,8,35,57,33215.0,1139.0,486,Usada
92,1,0.7822140999999974,1,156,17,0,306,56,56,0.05,57,10,46,64,53162.0,1716.0,537,Usada
87,1,0.782983999999999,1,72,14,0,219,58,64,0.05,57,6,54,83,41572.0,1533.0,417,Usada
87,1,0.7836394999999996,1,84,18,10,196,59,92,0.05,57,8,90,95,68503.0,3587.0,424,Usada
92,1,0.7842709999999968,1,0,20,10,341,57,59,0.05,57,1,55,1000,71004.0,2630.0,414,Usada
87,1,0.7850499999999982,1,405,95,40,1471,59,65,0.05,57,29,61,71,303445.0,10674.0,435,Usada
102,1,0.7870162999999977,1,255,7,0,315,52,22,0.05,57,5,33,19,32483.0,717.786,574,Usada
87,1,0.7877693000000008,1,57,5,0,82,52,61,0.05,57,3,83,52,10614.0,362.023,445,Usada
87,1,0.7882868000000016,1,10,6,0,86,54,70,0.05,57,2,52,200,17263.0,631.727,436,Usada
92,1,0.7888085000000018,1,37,37,10,637,57,58,0.05,57,4,55,108,117669.0,4127.0,454,Usada
87,1,0.7898810000000012,1,199,35,10,403,59,87,0.05,57,18,83,90,123556.0,5578.0,449,Usada
92,1,0.790718499999997,1,0,25,10,344,64,73,0.05,57,1,69,1000,102175.0,5266.0,477,Usada
97,1,0.7917514999999966,1,250,47,30,508,63,93,0.048,56,25,85,100,193462.0,12088.0,369,Usada
92,1,0.7927042999999969,1,33,33,20,455,61,73,0.048,56,4,68,121,141124.0,7568.0,403,Usada
92,1,0.7935344999999998,2,15596,2305,3530,19999,81,115,0.292,72,1810,112,116,22110000.0,4917000.0,201,Usada
87,1,0.793886999999998,1,144,44,20,574,61,77,0.048,56,14,69,97,168696.0,8501.0,410,Usada
97,1,0.7948939999999993,1,0,30,10,616,57,49,0.048,56,1,47,1000,99582.0,2863.0,464,Usada
87,1,0.7962784999999997,1,269,22,10,464,54,47,0.048,56,9,66,33,69540.0,2031.0,591,Usada
92,1,0.7973137999999977,1,111,7,0,139,53,50,0.048,56,5,74,45,20374.0,647.592,706,Usada
92,1,0.7979254999999981,1,32,4,0,33,54,121,0.048,56,4,0,125,7320.0,358.61,503,Usada
92,1,0.7983873000000017,1,19,30,10,399,59,75,0.048,56,3,71,157,85400.0,3136.0,436,Usada
92,1,0.7993485000000007,1,184,106,60,2000,63,53,0.048,56,14,50,76,399398.0,15939.0,491,Usada
87,1,0.8017825000000016,1,0,43,20,758,60,57,0.046,56,1,55,1000,136945.0,4306.0,473,Usada
87,1,0.8029918000000009,1,0,1,0,0,51,0,0.046,56,1,0,1000,183.0,166.622,455,Usada
87,1,0.8034248000000019,1,0,5,0,93,61,54,0.046,56,1,43,1000,16806.0,592.176,422,Usada
102,1,0.8040445999999974,1,79,25,10,617,59,41,0.046,56,4,39,50,107940.0,4206.0,505,Usada
92,1,0.8051397999999992,1,21,3,0,32,51,94,0.046,56,2,90,95,5856.0,265.39,500,Usada
