SNE1,SNE2,SNE3,Herramienta
10.75786,-1.1031595,7.380945,H2
14.692167,2.5865383,1.0126814,H2
4.583373,-7.466922,11.459343,H2
1.3186468,-7.7436037,11.121487,H2
15.429095,4.7925105,4.41615,H2
1.1745265,-7.9100156,11.061158,H2
14.789992,2.942637,1.0984187,H2
-0.48557428,-8.14027,9.74498,H2
15.226667,4.9103293,3.9106157,H2
0.5971605,-7.9276376,10.695465,H2
14.856839,3.200468,1.0579743,H2
0.7106282,-8.360212,10.878561,H2
8.839883,2.1280398,13.411125,H2
14.9122925,3.3056128,0.9716299,H2
8.5311575,2.7122211,13.495702,H2
-0.56654626,-8.3406925,10.084204,H2
13.358756,5.061498,2.4828892,H2
13.776449,5.0555873,2.6736739,H2
14.962085,5.29081,2.7753644,H2
8.881955,1.7977482,13.517968,H2
8.819297,1.7315457,13.420436,H2
0.8222562,-8.394227,10.970925,H2
15.119748,5.1772175,2.8043518,H2
15.122848,5.1905684,2.7583265,H2
6.715992,2.2225337,12.426275,H2
7.474445,1.7873737,12.485337,H2
7.0581207,2.477678,12.234839,H2
7.8650684,1.2786611,12.890264,H2
